id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
cz-czso-unemployment-rate,Unemployment rate in regions of Czech republic,http://data.czso.cz/resource/dataset/unemployment-rate,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
linkedspending,LinkedSpending: OpenSpending becomes Linked Open Data,http://linkedspending.aksw.org/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
eu-agencies-bodies,EU Agencies and decentralized bodies (Agencies),http://agencies.publicdata.eu/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.55
tip,TIP,absent,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
cz-ctia-confiscations,Confiscations of the Czech Trade Inspection Authority,http://linked.opendata.cz/resource/dataset/coi.cz/zajisteni,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.78
opendatacommunities-transparency-impact-indicators-affordable-housing-starts,opendatacommunities-transparency-impact-indicators-affordable-housing-starts,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
opendatacommunities-societal-wellbeing-deprivation-imd-employment-score-2010,opendatacommunities-societal-wellbeing-deprivation-imd-employment-score-2010,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
opendatacommunities-societal-wellbeing-deprivation-imd-rank-la-2010,opendatacommunities-societal-wellbeing-deprivation-imd-rank-la-2010,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
opendatacommunities-transparency-input-indicators-local-authority-funding-from-government-grant,opendatacommunities-transparency-input-indicators-local-authority-funding-from-government-grant,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
the-eurostat-linked-data,The Eurostat Linked Data,http://eurostat.linked-statistics.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,1,1,0.75,1,1,0,1,0.75,2.78
opendatacommunities-households-projections-totalhouseolds,opendatacommunities-households-projections-totalhouseolds,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
cz-sao-audited-subjects,Audited subjects of Supreme Audit Office of the Czech Republic,http://data.nku.cz/resource/dataset/audited-subjects,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
cz-ares-or,Data about business entities from the ARES system - business registry of the Czech Republic,http://linked.opendata.cz/resource/dataset/ares/or,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
opendatacommunities-households-projections-population,opendatacommunities-households-projections-population,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
2000-us-census-rdf,2000 U.S. Census in RDF (rdfabout.com),http://www.rdfabout.com/demo/census/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
opendatascotland-simd-income-rank,opendatascotland-simd-income-rank,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
AISHE,All India Survey of Higher Education,http://www.ronuphdswaishe.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
opendatacommunities-imd-environment-rank-2010,opendatacommunities-imd-environment-rank-2010,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
