KG id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
iislod-test,"Test Site, LOD Lab 317",http://sparql.odw.tw,1,0,1,0.56,0,1,0.59,1,1,1,1,1,1,1,0,0,0.5,1,1,1,1,1,3.09
Inztrow,Inztrow,,1,0,1,0.33,0,1,0.56,1,1,0,1,0.75,1,0,0,0,0.25,0,1,1,0,0.5,2.06
ISSN:0080-3626,Pierwszy polski podręcznik bibliotekarski,,1,0,1,0.22,0,1,0.54,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.04
jamendo-dbtune,DBTune.org Jamendo RDF Server,http://dbtune.org/jamendo/sparql/,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.34
jiscopenbib-bl_bnb-1,JISC Open Bibliography British National Bibliography dataset,http://bnb.data.bl.uk/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.07
jita,JITA Classification System of Library and Information Science,http://202.73.13.50:55824/catalogs/performance/repositories/jita,1,0,1,0.89,0,1,0.65,1,1,0,1,0.75,1,1,1,1,1,1,1,1,1,1,3.4
john-goodwins-family-tree,John Goodwin's Family Tree,http://api.talis.com/stores/jgoodwin-genealogy/services/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,1,0,1,0.75,0,1,1,1,0.75,2.57
judaicalink,JudaicaLink,,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.32
Kronika_naukowa_Biblioteki_Jagiellońskiej,Kronika naukowa Biblioteki Uniwersyteckiej w Łodzi,,1,0,1,0.22,0,1,0.54,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.04
lcsh,Library of Congress Subject Headings,,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.32
lcsubjects,LCSubjects.org Library of Congress Subject Headings,,1,0,1,0.33,0,1,0.56,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.06
ldt@library,Linked Open Data Taiwan @ Library,https://ld.ncl.edu.tw/graph.jsp,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
libris,LIBRIS,http://libris.kb.se/sparql,1,0.2,1,0.67,0,1,0.64,1,1,1,1,1,1,0,0,1,0.5,1,1,1,0,0.75,2.89
libver,Public Library of Veroia,http://libver.math.auth.gr/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
linkedlccn,LinkedLCCN,http://api.talis.com/stores/rsinger-dev4/services/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
linkedmdb,Linked Movie DataBase,http://data.linkedmdb.org/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.34
