id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
olac,OLAC Metadata,http://www.language-archives.org/archive_records.php,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
VelezIndexTotiusArtis,Velez (1744) Index Totius Artis in LiLa,http://lila-erc.eu/data/lexicalResources/LatinPortuguese/Velez/Lexicon,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
LASLA,LASLA corpus in LiLa,https://lila-erc.eu/data/corpora/Lasla/id/corpus,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
AugustiniConfessiones,Augustini Confessiones in LiLa,http://lila-erc.eu/data/corpora/CIRCSELatinLibrary/id/corpus/Confessiones,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
CompHistSem,Computational Historical Semantics in LiLa,http://lila-erc.eu/data/corpora/CompHistSem/id/corpus,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
CorpusFibonacci,Corpus Fibonacci in LiLa,http://lila-erc.eu/data/corpora/CorpusFibonacci/id/corpus,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
DanteLatinLoanwords,Dante Latin Loanwords in LiLa,http://lila-erc.eu/data/lexicalResources/DanteLatinLoanwords/Lexicon,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
IGVLL,Index Graecorum Vocabulorum in LiLa,http://lila-erc.eu/data/lexicalResources/IGVLL/Lexicon,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
IndexThomisticusTreebank,Index Thomisticus Treebank in LiLa,http://lila-erc.eu/data/corpora/ITTB/id/corpus,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
LatinAffectus,LatinAffectus in LiLa,http://lila-erc.eu/data/lexicalResources/LatinAffectus/Lexicon,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
universal-dependencies-treebank-finnish,Universal Dependencies Treebank Finnish,https://github.com/UniversalDependencies/UD_Finnish,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
eurosentiment,EuroSentiment,absent,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
bll-thesaurus,Bibliography of Linguistic Literature (BLL) Thesaurus,http://data.linguistik.de/bll,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
omwn-heb,Hebrew WordNet (as part of Open Multilingual WordNet),http://compling.hss.ntu.edu.sg/omw/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
premon,PreMOn (Predicate Model for Ontologies),http://premon.fbk.eu,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
