KG id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
bioportal-bcgo,Breast Cancer Grading Ontology,http://bioportal.bioontology.org/ontologies/1304,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
ogolod,Orthology and Diseases Information - OGO,http://miuras.inf.um.es/~ogo/ogolod.html,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
bioportal-hugo,HUGO,http://bioportal.bioontology.org/ontologies/1528,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-neomark,Neomark Oral Cancer Ontology,http://bioportal.bioontology.org/ontologies/1686,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-pdq,Physician Data Query,http://bioportal.bioontology.org/ontologies/1349,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bioportal-cogat,Cognitive Atlas,http://bioportal.bioontology.org/ontologies/1633,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
bio2rdf-affymetrix,Affymetrix,http://affymetrix.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-clinicaltrials,ClinicalTrials.gov,http://clinicaltrials.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-ctd,Comparative ToxicogenomicsÂ ,http://ctd.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-dbsnp,Database of single nucleotide polymorphism,http://dbsnp.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-genage,GenAge: The Ageing Gene Database,http://genage.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-gendr,GenDR: The Dietary Restriction Gene Database,http://gendr.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-hgnc,HUGO Gene Nomenclature CommitteeÂ ,http://hgnc.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-interpro,"Integrated resource of protein families, domains and functional sites",http://interpro.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-iproclass,Integrated Protein Knowledgebase,http://iproclass.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-kegg,Kyoto Encyclopedia of Genes and Genomes,https://www.genome.jp/kegg,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-linkedspl,Linked Structured Product Label,http://linkedspl.bio2rdf.org/,1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,0,0.55,3.37
bio2rdf-lsr,The Life Science Resource Registry,http://lsr.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-ncbigene,NCBI Gene,http://ncbigene.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-omim,Online Mendelian Inheritance in Man,http://omim.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-pathwaycommons,Pathway Commons,http://pathwaycommons.bio2rdf.org/,1,0,1,0.89,1,1,0.82,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,0,0.55,3.37
bio2rdf-reactome,Reactome - a curated knowledgebase of biological pathways,https://reactome.org,1,0,1,0.78,1,1,0.8,1,1,1,0,0.75,1,1,0,1,0.75,0,1,0.181818182,1,0.55,2.85
bio2rdf-sgd,Saccharomyces Genome Database,http://sgd.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
bio2rdf-bioportal,BioPortal,http://bioportal.bio2rdf.org/,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,0.181818182,1,0.8,3.63
lincs-cloview,LINCS Cell Line Ontology View,https://lincsproject.org/,0,0.201365188,1,0.33,0,0,0.26,1,1,1,0,0.75,0,1,0,1,0.5,0,1,0,0,0.25,1.76
lthido,Linked Terminologies for Human Infectious Diseases,https://bioportal.bioontology.org/ontologies/LTHIDO,0,0.197952218,1,0.33,0,0,0.25,1,1,1,0,0.75,0,1,0,1,0.5,0,1,0,0,0.25,1.75
ndf-rt,National Drug File - Reference Terminology,https://www.nlm.nih.gov/research/umls/sourcereleasedocs/current/NDFRT/,1,0,1,0.33,0,1,0.56,0.5,1,0,1,0.62,0,1,0,1,0.5,0,1,0,0,0.25,1.93
