id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
environmental-applications-reference-thesaurus,https://lod-cloud.net/dataset/environmental-applications-reference-thesaurus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
gemet,https://lod-cloud.net/dataset/gemet,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
thist,https://lod-cloud.net/dataset/thist,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
umthes,https://lod-cloud.net/dataset/umthes,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
multext-east,https://lod-cloud.net/dataset/multext-east,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-eu-es,https://lod-cloud.net/dataset/apertium-rdf-eu-es,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
clld-wold,https://lod-cloud.net/dataset/clld-wold,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
universal-dependencies-treebank-galician,https://lod-cloud.net/dataset/universal-dependencies-treebank-galician,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-turkish,https://lod-cloud.net/dataset/universal-dependencies-treebank-turkish,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
clld-apics,https://lod-cloud.net/dataset/clld-apics,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
clld-sails,https://lod-cloud.net/dataset/clld-sails,2,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,4
wn-wiki-instances,https://lod-cloud.net/dataset/wn-wiki-instances,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
gwa-ili,https://lod-cloud.net/dataset/gwa-ili,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-hindi,https://lod-cloud.net/dataset/universal-dependencies-treebank-hindi,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
clean-energy-data-reegle,https://lod-cloud.net/dataset/clean-energy-data-reegle,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
phoible,https://lod-cloud.net/dataset/phoible,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
iate-rdf,https://lod-cloud.net/dataset/iate-rdf,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
universal-dependencies-treebank-swedish,https://lod-cloud.net/dataset/universal-dependencies-treebank-swedish,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-spanish,https://lod-cloud.net/dataset/universal-dependencies-treebank-spanish,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
