id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
rkb-explorer-eurecom,https://lod-cloud.net/dataset/rkb-explorer-eurecom,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-ft,https://lod-cloud.net/dataset/rkb-explorer-ft,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-ibm,https://lod-cloud.net/dataset/rkb-explorer-ibm,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-ieee,https://lod-cloud.net/dataset/rkb-explorer-ieee,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-kisti,https://lod-cloud.net/dataset/rkb-explorer-kisti,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-laas,https://lod-cloud.net/dataset/rkb-explorer-laas,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-oai,https://lod-cloud.net/dataset/rkb-explorer-oai,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-pisa,https://lod-cloud.net/dataset/rkb-explorer-pisa,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-resex,https://lod-cloud.net/dataset/rkb-explorer-resex,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-risks,https://lod-cloud.net/dataset/rkb-explorer-risks,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-roma,https://lod-cloud.net/dataset/rkb-explorer-roma,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-ulm,https://lod-cloud.net/dataset/rkb-explorer-ulm,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
southampton-ecs-eprints,https://lod-cloud.net/dataset/southampton-ecs-eprints,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-italy,https://lod-cloud.net/dataset/rkb-explorer-italy,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
rkb-explorer-lisbon,https://lod-cloud.net/dataset/rkb-explorer-lisbon,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
gutenberg,https://lod-cloud.net/dataset/gutenberg,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
open-library,https://lod-cloud.net/dataset/open-library,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
ww1lod,https://lod-cloud.net/dataset/ww1lod,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
twc-opendap,https://lod-cloud.net/dataset/twc-opendap,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
rism-authorities,https://lod-cloud.net/dataset/rism-authorities,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
rkb-explorer-era,https://lod-cloud.net/dataset/rkb-explorer-era,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
stw-thesaurus-for-economics,https://lod-cloud.net/dataset/stw-thesaurus-for-economics,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
german-labor-law-thesaurus,https://lod-cloud.net/dataset/german-labor-law-thesaurus,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
gesis-thesoz,https://lod-cloud.net/dataset/gesis-thesoz,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
periodo,https://lod-cloud.net/dataset/periodo,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
shoah-victims-names,https://lod-cloud.net/dataset/shoah-victims-names,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
reload,https://lod-cloud.net/dataset/reload,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
