id,title,url
apollo_sv,Apollo Structured Vocabulary (Apollo-SV),https://github.com/ApolloDev/apollo-sv
icdo,International Classification of Diseases Ontology,https://github.com/icdo/ICDO
chiro,CHEBI Integrated Role Ontology,https://github.com/obophenotype/chiro
oce,Ontology of Chemical Elements,https://github.com/ontologyofchemicalelements
cido,CIDO: Ontology of Coronavirus Infectious Disease,https://github.com/cido-ontology/cido
ktao,Kidney Tissue Atlas Ontology,https://github.com/KPMP/KTAO
geno,Genotype Ontology,https://github.com/monarch-initiative/GENO-ontology/
bcgo,Beta Cell Genomics Ontology,https://github.com/obi-bcgo/bcgo
oostt,Ontology of Organizational Structures of Trauma centers and Trauma systems,https://github.com/OOSTT/OOSTT
ons,Ontology for Nutritional Studies,https://github.com/enpadasi/Ontology-for-Nutritional-Studies
mco,Microbial Conditions Ontology,https://github.com/microbial-conditions-ontology/microbial-conditions-ontology
pdro,The Prescription of Drugs Ontology,https://github.com/OpenLHS/PDRO
pcl,Provisional Cell Ontology,https://github.com/obophenotype/provisional_cell_ontology
pdumdv,,https://github.com/obophenotype/developmental-stage-ontologies/wiki/PdumDv
hom,Homology Ontology,https://github.com/BgeeDB/homology-ontology
dideo,Drug-drug Interaction and Drug-drug Interaction Evidence Ontology,https://github.com/DIDEO/DIDEO
ecocore,An ontology of core ecological entities,https://github.com/EcologicalSemantics/ecocore
hsapdv,Human Developmental Stages Ontology,https://github.com/obophenotype/developmental-stage-ontologies/wiki/HsapDv
htn,Hypertension Ontology,https://github.com/aellenhicks/htn_owl
chmo,Chemical Methods Ontology,https://github.com/rsc-ontologies/rsc-cmo
olobo,OLOBO: Ontology for Linking and Integrating Open Biological and Biomedical Ontologies,https://github.com/biomedontology/olobo
maxo,Medical Action Ontology,https://github.com/monarch-initiative/MAxO
ehdaa2,Human developmental anatomy,https://github.com/obophenotype/human-developmental-anatomy-ontology
epio,Epilepsy Ontology,https://github.com/SCAI-BIO/EpilepsyOntology
vido,Vaccine Investigation and Design Ontology,https://github.com/infectious-disease-ontology-extensions/ido-virus
