id,title,original_url,score_F1A,score_F1B,score_F2,score_F3,score_F4,score_A1.1,score_A1.2,score_A2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,avg_F,total_A,avg_A,total_I,avg_I,total_R,avg_R,score_total,score_avg
reo,Radiological Events Ontology,https://bioportal.bioontology.org/ontologies/REO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
sdgio,Sustainable Development Goals Interface Ontology,https://bioportal.bioontology.org/ontologies/SDGIO,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
uberon-basic,Uberon Basic,http://uberon.github.io/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
uberon_collected_metazoa,Uberon Collected Metazoa,http://uberon.github.io/,,,,,,,,,,,,,,,,,,,,,,,4,0.333
uberon_depictions,Uberon Depictions,http://uberon.github.io/,,,,,,,,,,,,,,,,,,,,,,,4,0.333
xl,Xenopus Anatomy Ontology,https://bioportal.bioontology.org/ontologies/XL,0,0,,,,2,0,,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0.167
evorao,European Viral Outbreak Response Alliance Ontology,http://www.evocontology.org/,2,0,,,,2,0,,1,1,0,0,2,1,4,1,2,1,2,0.667,3,1,11,0.917
ictv,ICTV Virus Taxonomy,https://talk.ictvonline.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
uniprotrdfs,UniProt RDF Schema,https://www.uniprot.org/,2,0,,,,2,0,,1,1,2,0,0,1,4,1,2,1,4,1.333,1,0.333,11,0.917
addicto,Addiction Ontology,https://www.ebi.ac.uk/ols4/ontologies/addicto,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
dhba,Developing Human Brain Atlas Ontology,https://www.ebi.ac.uk/ols4/ontologies/dhba,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
